# Log de procesamiento — a8_leo
Fecha: 8/4/2026, 1:04:38 p.m.

## Tiempos por archivo
| Archivo | Tiempo (ms) |
| 492_sorted.txt | 0.973 |
| 261_sorted.txt | 0.324 |
| 414_sorted.txt | 0.421 |
| 110_sorted.txt | 0.116 |
| 229_sorted.txt | 0.248 |
| 012_sorted.txt | 0.118 |
| 046_sorted.txt | 0.342 |
| 481_sorted.txt | 0.107 |
| 144_sorted.txt | 0.170 |
| 482_sorted.txt | 0.094 |
| 502_sorted.txt | 0.257 |
| 184_sorted.txt | 0.260 |
| 254_sorted.txt | 0.780 |
| 109_sorted.txt | 0.241 |
| 114_sorted.txt | 0.286 |
| 205_sorted.txt | 0.458 |
| 138_sorted.txt | 0.170 |
| 327_sorted.txt | 0.281 |
| 365_sorted.txt | 3.324 |
| 183_sorted.txt | 0.246 |
| 064_sorted.txt | 0.525 |
| 067_sorted.txt | 0.358 |
| 240_sorted.txt | 1.585 |
| 136_sorted.txt | 0.309 |
| 472_sorted.txt | 0.134 |
| 268_sorted.txt | 0.297 |
| 173_sorted.txt | 0.113 |
| 436_sorted.txt | 6.752 |
| 445_sorted.txt | 0.766 |
| 457_sorted.txt | 0.152 |
| 145_sorted.txt | 0.301 |
| 395_sorted.txt | 0.747 |
| 160_sorted.txt | 0.340 |
| 075_sorted.txt | 0.233 |
| 391_sorted.txt | 0.925 |
| 119_sorted.txt | 0.686 |
| 273_sorted.txt | 0.457 |
| 220_sorted.txt | 0.152 |
| 187_sorted.txt | 0.130 |
| 084_sorted.txt | 0.142 |
| 014_sorted.txt | 0.073 |
| 047_sorted.txt | 0.437 |
| 264_sorted.txt | 0.441 |
| 072_sorted.txt | 0.059 |
| 021_sorted.txt | 0.228 |
| 324_sorted.txt | 0.204 |
| 140_sorted.txt | 0.057 |
| 383_sorted.txt | 2.422 |
| 242_sorted.txt | 0.843 |
| 364_sorted.txt | 3.949 |

## Resumen
| Métrica | Valor |
|---------|-------|
| Tokens únicos | 98152 |
| Tamaño de la hash table | 294456 |
| Entradas usadas | 98152 |
| Colisiones | 183214 |
| Lookups | 0 |
| Factor de carga | 0.3333 |
| Tiempo total | 734.463 ms |
