# Log de procesamiento - a9_leo

 Tiempos por archivo
| Archivo | Tiempo (ms) |
| 112_sorted.txt | 0.304 |
| 335_sorted.txt | 0.750 |
| 033_sorted.txt | 0.195 |
| 376_sorted.txt | 5.566 |
| 131_sorted.txt | 1.916 |
| 307_sorted.txt | 2.063 |
| 180_sorted.txt | 0.126 |
| 401_sorted.txt | 0.427 |
| 146_sorted.txt | 0.950 |
| 015_sorted.txt | 0.162 |
| 107_sorted.txt | 0.079 |
| 073_sorted.txt | 0.086 |
| 231_sorted.txt | 0.072 |
| 435_sorted.txt | 7.593 |
| 496_sorted.txt | 0.127 |
| 467_sorted.txt | 0.114 |
| 152_sorted.txt | 1.253 |
| 066_sorted.txt | 0.754 |
| 503_sorted.txt | 0.158 |
| 265_sorted.txt | 0.195 |
| 222_sorted.txt | 0.660 |
| 475_sorted.txt | 0.255 |
| 167_sorted.txt | 0.110 |
| 377_sorted.txt | 2.905 |
| 288_sorted.txt | 0.306 |
| 041_sorted.txt | 0.210 |
| 299_sorted.txt | 0.938 |
| 154_sorted.txt | 0.469 |
| 172_sorted.txt | 0.212 |
| 241_sorted.txt | 0.405 |
| 390_sorted.txt | 1.303 |
| 096_sorted.txt | 0.153 |
| 487_sorted.txt | 0.163 |
| 452_sorted.txt | 0.104 |
| 078_sorted.txt | 0.224 |
| 029_sorted.txt | 1.019 |
| 388_sorted.txt | 0.889 |
| 212_sorted.txt | 0.166 |
| 225_sorted.txt | 0.142 |
| 356_sorted.txt | 1.039 |
| 306_sorted.txt | 0.317 |
| 227_sorted.txt | 0.099 |
| 484_sorted.txt | 0.297 |
| 175_sorted.txt | 0.174 |
| 421_sorted.txt | 0.386 |
| 209_sorted.txt | 0.233 |
| 460_sorted.txt | 0.178 |
| 431_sorted.txt | 0.282 |
| 193_sorted.txt | 0.175 |
| 199_sorted.txt | 0.233 |
| 068_sorted.txt | 0.154 |
| 058_sorted.txt | 0.303 |
| 313_sorted.txt | 0.559 |
| 077_sorted.txt | 0.088 |
| 164_sorted.txt | 0.227 |
| 345_sorted.txt | 2.597 |
| 081_sorted.txt | 0.126 |
| 194_sorted.txt | 0.231 |
| 224_sorted.txt | 0.149 |
| 251_sorted.txt | 0.506 |
| 343_sorted.txt | 2.287 |
| 019_sorted.txt | 3.289 |
| 139_sorted.txt | 0.371 |
| 370_sorted.txt | 3.481 |
| 366_sorted.txt | 2.616 |
| 228_sorted.txt | 0.193 |
| 499_sorted.txt | 0.160 |
| 361_sorted.txt | 2.829 |
| 039_sorted.txt | 0.128 |
| 346_sorted.txt | 2.869 |
| 311_sorted.txt | 0.828 |
| 286_sorted.txt | 0.758 |
| 024_sorted.txt | 0.190 |
| 082_sorted.txt | 0.916 |
| 379_sorted.txt | 0.936 |
| 270_sorted.txt | 0.538 |
| 316_sorted.txt | 0.479 |
| 215_sorted.txt | 0.321 |
| 469_sorted.txt | 0.296 |
| 165_sorted.txt | 0.071 |
| 334_sorted.txt | 0.787 |
| 162_sorted.txt | 0.183 |
| 127_sorted.txt | 0.062 |
| 280_sorted.txt | 1.108 |
| 298_sorted.txt | 2.015 |
| 462_sorted.txt | 1.193 |
| 007_sorted.txt | 1.794 |
| 403_sorted.txt | 0.501 |
| 221_sorted.txt | 0.200 |
| 247_sorted.txt | 1.335 |
| 296_sorted.txt | 0.329 |
| 217_sorted.txt | 0.082 |
| 151_sorted.txt | 0.060 |
| 371_sorted.txt | 2.833 |
| 495_sorted.txt | 0.193 |
| 326_sorted.txt | 3.072 |
| 239_sorted.txt | 0.611 |
| 437_sorted.txt | 6.620 |
| 406_sorted.txt | 0.300 |
| 338_sorted.txt | 3.658 |
| 030_sorted.txt | 0.280 |
| 185_sorted.txt | 0.236 |
| 442_sorted.txt | 0.108 |
| 237_sorted.txt | 0.504 |
| 169_sorted.txt | 0.179 |
| 304_sorted.txt | 2.167 |
| 171_sorted.txt | 0.113 |
| 232_sorted.txt | 0.381 |
| 281_sorted.txt | 1.157 |
| 211_sorted.txt | 0.213 |
| 430_sorted.txt | 0.269 |
| 354_sorted.txt | 3.224 |
| 470_sorted.txt | 0.174 |
| 322_sorted.txt | 0.507 |
| 412_sorted.txt | 0.442 |
| 206_sorted.txt | 0.199 |
| 197_sorted.txt | 0.651 |
| 478_sorted.txt | 0.189 |
| 181_sorted.txt | 2.067 |
| 104_sorted.txt | 8.698 |
| 317_sorted.txt | 0.442 |
| 038_sorted.txt | 0.456 |
| 031_sorted.txt | 0.182 |
| 405_sorted.txt | 0.431 |
| 003_sorted.txt | 0.129 |
| 093_sorted.txt | 0.060 |
| 124_sorted.txt | 0.562 |
| 480_sorted.txt | 0.151 |
| 464_sorted.txt | 0.390 |
| 341_sorted.txt | 2.860 |
| 002_sorted.txt | 1.616 |
| 157_sorted.txt | 0.121 |
| 238_sorted.txt | 0.373 |
| 492_sorted.txt | 0.986 |
| 261_sorted.txt | 0.319 |
| 414_sorted.txt | 0.446 |
| 110_sorted.txt | 0.118 |
| 229_sorted.txt | 0.276 |
| 012_sorted.txt | 0.128 |
| 046_sorted.txt | 0.329 |
| 481_sorted.txt | 0.103 |
| 144_sorted.txt | 0.190 |
| 482_sorted.txt | 0.077 |
| 502_sorted.txt | 0.292 |
| 184_sorted.txt | 0.389 |
| 254_sorted.txt | 0.971 |
| 109_sorted.txt | 0.207 |
| 114_sorted.txt | 0.294 |
| 205_sorted.txt | 0.464 |
| 138_sorted.txt | 0.162 |
| 327_sorted.txt | 0.290 |
| 365_sorted.txt | 3.763 |
| 183_sorted.txt | 0.235 |
| 064_sorted.txt | 0.549 |
| 067_sorted.txt | 0.249 |
| 240_sorted.txt | 1.469 |
| 136_sorted.txt | 0.399 |
| 472_sorted.txt | 0.130 |
| 268_sorted.txt | 0.304 |
| 173_sorted.txt | 0.115 |
| 436_sorted.txt | 6.983 |
| 445_sorted.txt | 0.908 |
| 457_sorted.txt | 0.147 |
| 145_sorted.txt | 0.327 |
| 395_sorted.txt | 0.809 |
| 160_sorted.txt | 0.367 |
| 075_sorted.txt | 0.221 |
| 391_sorted.txt | 0.903 |
| 119_sorted.txt | 0.826 |
| 273_sorted.txt | 0.545 |
| 220_sorted.txt | 0.160 |
| 187_sorted.txt | 0.154 |
| 084_sorted.txt | 0.114 |
| 014_sorted.txt | 0.060 |
| 047_sorted.txt | 0.468 |
| 264_sorted.txt | 0.468 |
| 072_sorted.txt | 0.059 |
| 021_sorted.txt | 0.248 |
| 324_sorted.txt | 0.230 |
| 140_sorted.txt | 0.063 |
| 383_sorted.txt | 1.882 |
| 242_sorted.txt | 0.733 |
| 364_sorted.txt | 4.488 |

 Filtros aplicados
| Filtro | Criterio | Tokens eliminados |
|--------|----------|-------------------|
| Stop list | Palabras del archivo stoplist.txt | 508 |
| Longitud | Tokens de 1 carácter | 0 |
| Frecuencia baja | Menos de 3 repeticiones totales | 69191 |

 Resumen
| Métrica | Valor |
|---------|-------|
| Tokens antes de filtrar | 98152 |
| Tokens eliminados total | 69699 |
| Tokens en diccionario final | 28453 |
| Tamaño de la hash table | 85359 |
| Entradas usadas | 28453 |
| Colisiones | 60262 |
| Lookups | 0 |
| Factor de carga | 0.3333 |
| Tiempo total | 523.190 ms |
