DocumentID                              Nombre del archivo                      
371                                     487_sorted.txt                          
372                                     312_sorted.txt                          
373                                     259_sorted.txt                          
374                                     319_sorted.txt                          
375                                     297_sorted.txt                          
376                                     320_sorted.txt                          
377                                     294_sorted.txt                          
378                                     261_sorted.txt                          
379                                     268_sorted.txt                          
380                                     324_sorted.txt                          
381                                     123_sorted.txt                          
382                                     109_sorted.txt                          
383                                     080_sorted.txt                          
384                                     115_sorted.txt                          
385                                     451_sorted.txt                          
386                                     265_sorted.txt                          
387                                     288_sorted.txt                          
388                                     317_sorted.txt                          
389                                     087_sorted.txt                          
390                                     502_sorted.txt                          
391                                     460_sorted.txt                          
392                                     117_sorted.txt                          
393                                     122_sorted.txt                          
394                                     500_sorted.txt                          
395                                     116_sorted.txt                          
396                                     144_sorted.txt                          
397                                     136_sorted.txt                          
398                                     201_sorted.txt                          
399                                     495_sorted.txt                          
400                                     131_sorted.txt                          
401                                     003_sorted.txt                          
402                                     025_sorted.txt                          
403                                     104_sorted.txt                          
404                                     031_sorted.txt                          
405                                     039_sorted.txt                          
406                                     medium_sorted.txt                       
407                                     083_sorted.txt                          
408                                     062_sorted.txt                          
409                                     172_sorted.txt                          
410                                     018_sorted.txt                          
411                                     060_sorted.txt                          
412                                     467_sorted.txt                          
413                                     450_sorted.txt                          
414                                     494_sorted.txt                          
415                                     177_sorted.txt                          
416                                     049_sorted.txt                          
417                                     449_sorted.txt                          
418                                     486_sorted.txt                          
419                                     089_sorted.txt                          
420                                     457_sorted.txt                          
421                                     048_sorted.txt                          
422                                     452_sorted.txt                          
423                                     166_sorted.txt                          
424                                     094_sorted.txt                          
425                                     196_sorted.txt                          
426                                     032_sorted.txt                          
427                                     153_sorted.txt                          
428                                     470_sorted.txt                          
429                                     485_sorted.txt                          
430                                     471_sorted.txt                          
431                                     479_sorted.txt                          
432                                     474_sorted.txt                          
433                                     455_sorted.txt                          
434                                     488_sorted.txt                          
435                                     490_sorted.txt                          
436                                     491_sorted.txt                          
437                                     497_sorted.txt                          
438                                     480_sorted.txt                          
439                                     481_sorted.txt                          
440                                     482_sorted.txt                          
441                                     090_sorted.txt                          
442                                     145_sorted.txt                          
443                                     014_sorted.txt                          
444                                     088_sorted.txt                          
445                                     129_sorted.txt                          
446                                     499_sorted.txt                          
447                                     203_sorted.txt                          
448                                     193_sorted.txt                          
449                                     183_sorted.txt                          
450                                     126_sorted.txt                          
451                                     142_sorted.txt                          
452                                     171_sorted.txt                          
453                                     023_sorted.txt                          
454                                     085_sorted.txt                          
455                                     hard_sorted.txt                         
456                                     065_sorted.txt                          
457                                     081_sorted.txt                          
458                                     503_sorted.txt                          
459                                     231_sorted.txt                          
460                                     113_sorted.txt                          
461                                     061_sorted.txt                          
462                                     071_sorted.txt                          
463                                     128_sorted.txt                          
464                                     186_sorted.txt                          
465                                     140_sorted.txt                          
466                                     200_sorted.txt                          
467                                     210_sorted.txt                          
468                                     069_sorted.txt                          
469                                     170_sorted.txt                          
470                                     190_sorted.txt                          
471                                     072_sorted.txt                          
472                                     173_sorted.txt                          
473                                     111_sorted.txt                          
474                                     148_sorted.txt                          
475                                     016_sorted.txt                          
476                                     165_sorted.txt                          
477                                     169_sorted.txt                          
478                                     217_sorted.txt                          
479                                     225_sorted.txt                          
480                                     176_sorted.txt                          
481                                     191_sorted.txt                          
482                                     127_sorted.txt                          
483                                     097_sorted.txt                          
484                                     102_sorted.txt                          
485                                     130_sorted.txt                          
486                                     496_sorted.txt                          
487                                     012_sorted.txt                          
488                                     214_sorted.txt                          
489                                     439_sorted.txt                          
490                                     155_sorted.txt                          
491                                     107_sorted.txt                          
492                                     227_sorted.txt                          
493                                     158_sorted.txt                          
494                                     020_sorted.txt                          
495                                     093_sorted.txt                          
496                                     441_sorted.txt                          
497                                     444_sorted.txt                          
498                                     440_sorted.txt                          
499                                     438_sorted.txt                          
500                                     443_sorted.txt                          
501                                     442_sorted.txt                          
502                                     045_sorted.txt                          
503                                     simple_sorted.txt                       
504                                     013_sorted.txt                          
